questionId,title,titleSlug,difficulty,acRate,isPaidOnly,topicTags,categoryTitle
46,Permutations,permutations,Medium,81.61,False,"Array,Backtracking",Algorithms
47,Permutations II,permutations-ii,Medium,62.94,False,"Array,Backtracking,Sorting",Algorithms
48,Rotate Image,rotate-image,Medium,79.31,False,"Array,Math,Matrix",Algorithms
49,Group Anagrams,group-anagrams,Medium,72.16,False,"Array,Hash Table,String,Sorting",Algorithms
50,"Pow(x, n)",powx-n,Medium,38.24,False,"Math,Recursion",Algorithms
51,N-Queens,n-queens,Hard,74.9,False,"Array,Backtracking",Algorithms
52,N-Queens II,n-queens-ii,Hard,78.13,False,Backtracking,Algorithms
53,Maximum Subarray,maximum-subarray,Medium,52.95,False,"Array,Divide and Conquer,Dynamic Programming",Algorithms
54,Spiral Matrix,spiral-matrix,Medium,56.1,False,"Array,Matrix,Simulation",Algorithms
55,Jump Game,jump-game,Medium,40.45,False,"Array,Dynamic Programming,Greedy",Algorithms
56,Merge Intervals,merge-intervals,Medium,51.13,False,"Array,Sorting",Algorithms
57,Insert Interval,insert-interval,Medium,44.73,False,Array,Algorithms
58,Length of Last Word,length-of-last-word,Easy,58.24,False,String,Algorithms
59,Spiral Matrix II,spiral-matrix-ii,Medium,74.61,False,"Array,Matrix,Simulation",Algorithms
60,Permutation Sequence,permutation-sequence,Hard,52.09,False,"Math,Recursion",Algorithms
61,Rotate List,rotate-list,Medium,41.17,False,"Linked List,Two Pointers",Algorithms
62,Unique Paths,unique-paths,Medium,66.54,False,"Math,Dynamic Programming,Combinatorics",Algorithms
63,Unique Paths II,unique-paths-ii,Medium,44.12,False,"Array,Dynamic Programming,Matrix",Algorithms
64,Minimum Path Sum,minimum-path-sum,Medium,67.79,False,"Array,Dynamic Programming,Matrix",Algorithms
65,Valid Number,valid-number,Hard,22.57,False,String,Algorithms
66,Plus One,plus-one,Easy,49.5,False,"Array,Math",Algorithms
67,Add Binary,add-binary,Easy,57.6,False,"Math,String,Bit Manipulation,Simulation",Algorithms
68,Text Justification,text-justification,Hard,50.37,False,"Array,String,Simulation",Algorithms
69,Sqrt(x),sqrtx,Easy,41.39,False,"Math,Binary Search",Algorithms
70,Climbing Stairs,climbing-stairs,Easy,53.89,False,"Math,Dynamic Programming,Memoization",Algorithms
71,Simplify Path,simplify-path,Medium,49.97,False,"String,Stack",Algorithms
72,Edit Distance,edit-distance,Medium,60.11,False,"String,Dynamic Programming",Algorithms
73,Set Matrix Zeroes,set-matrix-zeroes,Medium,62.41,False,"Array,Hash Table,Matrix",Algorithms
74,Search a 2D Matrix,search-a-2d-matrix,Medium,53.51,False,"Array,Binary Search,Matrix",Algorithms
75,Sort Colors,sort-colors,Medium,69.13,False,"Array,Two Pointers,Sorting",Algorithms
76,Minimum Window Substring,minimum-window-substring,Hard,46.92,False,"Hash Table,String,Sliding Window",Algorithms
77,Combinations,combinations,Medium,74.16,False,Backtracking,Algorithms
78,Subsets,subsets,Medium,82.02,False,"Array,Backtracking,Bit Manipulation",Algorithms
79,Word Search,word-search,Medium,46.82,False,"Array,String,Backtracking,Depth-First Search,Matrix",Algorithms
80,Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,Medium,64.25,False,"Array,Two Pointers",Algorithms
81,Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,Medium,39.71,False,"Array,Binary Search",Algorithms
82,Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,Medium,51.29,False,"Linked List,Two Pointers",Algorithms
83,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,Easy,56.23,False,Linked List,Algorithms
84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,Hard,49.31,False,"Array,Stack,Monotonic Stack",Algorithms
85,Maximal Rectangle,maximal-rectangle,Hard,58.06,False,"Array,Dynamic Programming,Stack,Matrix,Monotonic Stack",Algorithms
86,Partition List,partition-list,Medium,60.57,False,"Linked List,Two Pointers",Algorithms
87,Scramble String,scramble-string,Hard,43.85,False,"String,Dynamic Programming",Algorithms
88,Merge Sorted Array,merge-sorted-array,Easy,54.36,False,"Array,Two Pointers,Sorting",Algorithms
89,Gray Code,gray-code,Medium,64.04,False,"Math,Backtracking,Bit Manipulation",Algorithms
90,Subsets II,subsets-ii,Medium,60.86,False,"Array,Backtracking,Bit Manipulation",Algorithms
91,Decode Ways,decode-ways,Medium,37.6,False,"String,Dynamic Programming",Algorithms
92,Reverse Linked List II,reverse-linked-list-ii,Medium,50.97,False,Linked List,Algorithms
93,Restore IP Addresses,restore-ip-addresses,Medium,55.26,False,"String,Backtracking",Algorithms
94,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,Easy,79.7,False,"Stack,Tree,Depth-First Search,Binary Tree",Algorithms
95,Unique Binary Search Trees II,unique-binary-search-trees-ii,Medium,61.91,False,"Dynamic Programming,Backtracking,Tree,Binary Search Tree,Binary Tree",Algorithms
96,Unique Binary Search Trees,unique-binary-search-trees,Medium,63.29,False,"Math,Dynamic Programming,Tree,Binary Search Tree,Binary Tree",Algorithms
97,Interleaving String,interleaving-string,Medium,43.49,False,"String,Dynamic Programming",Algorithms
98,Validate Binary Search Tree,validate-binary-search-tree,Medium,35.34,False,"Tree,Depth-First Search,Binary Search Tree,Binary Tree",Algorithms
99,Recover Binary Search Tree,recover-binary-search-tree,Medium,58.73,False,"Tree,Depth-First Search,Binary Search Tree,Binary Tree",Algorithms
100,Same Tree,same-tree,Easy,66.61,False,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Algorithms
101,Symmetric Tree,symmetric-tree,Easy,60.7,False,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Algorithms
102,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,Medium,72.15,False,"Tree,Breadth-First Search,Binary Tree",Algorithms
103,Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,Medium,63.14,False,"Tree,Breadth-First Search,Binary Tree",Algorithms
104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,Easy,77.91,False,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Algorithms
105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,Medium,68.32,False,"Array,Hash Table,Divide and Conquer,Tree,Binary Tree",Algorithms
106,Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,Medium,68.01,False,"Array,Hash Table,Divide and Conquer,Tree,Binary Tree",Algorithms
107,Binary Tree Level Order Traversal II,binary-tree-level-order-traversal-ii,Medium,67.61,False,"Tree,Breadth-First Search,Binary Tree",Algorithms
108,Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,Easy,75.18,False,"Array,Divide and Conquer,Tree,Binary Search Tree,Binary Tree",Algorithms
109,Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,Medium,65.93,False,"Linked List,Divide and Conquer,Tree,Binary Search Tree,Binary Tree",Algorithms
110,Balanced Binary Tree,balanced-binary-tree,Easy,57.82,False,"Tree,Depth-First Search,Binary Tree",Algorithms
111,Minimum Depth of Binary Tree,minimum-depth-of-binary-tree,Easy,52.32,False,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Algorithms
112,Path Sum,path-sum,Easy,54.39,False,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Algorithms
113,Path Sum II,path-sum-ii,Medium,61.73,False,"Backtracking,Tree,Depth-First Search,Binary Tree",Algorithms
114,Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,Medium,70.18,False,"Linked List,Stack,Tree,Depth-First Search,Binary Tree",Algorithms
115,Distinct Subsequences,distinct-subsequences,Hard,51.47,False,"String,Dynamic Programming",Algorithms
116,Populating Next Right Pointers in Each Node,populating-next-right-pointers-in-each-node,Medium,66.81,False,"Linked List,Tree,Depth-First Search,Breadth-First Search,Binary Tree",Algorithms
117,Populating Next Right Pointers in Each Node II,populating-next-right-pointers-in-each-node-ii,Medium,57.09,False,"Linked List,Tree,Depth-First Search,Breadth-First Search,Binary Tree",Algorithms
118,Pascal's Triangle,pascals-triangle,Easy,78.65,False,"Array,Dynamic Programming",Algorithms
119,Pascal's Triangle II,pascals-triangle-ii,Easy,67.09,False,"Array,Dynamic Programming",Algorithms
120,Triangle,triangle,Medium,59.84,False,"Array,Dynamic Programming",Algorithms
121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,Easy,56.37,False,"Array,Dynamic Programming",Algorithms
122,Best Time to Buy and Sell Stock II,best-time-to-buy-and-sell-stock-ii,Medium,70.71,False,"Array,Dynamic Programming,Greedy",Algorithms
123,Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,Hard,53.12,False,"Array,Dynamic Programming",Algorithms
124,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,Hard,42.0,False,"Dynamic Programming,Tree,Depth-First Search,Binary Tree",Algorithms
125,Valid Palindrome,valid-palindrome,Easy,52.75,False,"Two Pointers,String",Algorithms
126,Word Ladder II,word-ladder-ii,Hard,27.51,False,"Hash Table,String,Backtracking,Breadth-First Search",Algorithms
127,Word Ladder,word-ladder,Hard,44.87,False,"Hash Table,String,Breadth-First Search",Algorithms
128,Longest Consecutive Sequence,longest-consecutive-sequence,Medium,47.0,False,"Array,Hash Table,Union-Find",Algorithms
129,Sum Root to Leaf Numbers,sum-root-to-leaf-numbers,Medium,69.55,False,"Tree,Depth-First Search,Binary Tree",Algorithms
130,Surrounded Regions,surrounded-regions,Medium,44.72,False,"Array,Depth-First Search,Breadth-First Search,Union-Find,Matrix",Algorithms
131,Palindrome Partitioning,palindrome-partitioning,Medium,73.67,False,"String,Dynamic Programming,Backtracking",Algorithms
132,Palindrome Partitioning II,palindrome-partitioning-ii,Hard,36.55,False,"String,Dynamic Programming",Algorithms
133,Clone Graph,clone-graph,Medium,64.66,False,"Hash Table,Depth-First Search,Breadth-First Search,Graph Theory",Algorithms
134,Gas Station,gas-station,Medium,47.49,False,"Array,Greedy",Algorithms
135,Candy,candy,Hard,47.92,False,"Array,Greedy",Algorithms
136,Single Number,single-number,Easy,77.31,False,"Array,Bit Manipulation",Algorithms
137,Single Number II,single-number-ii,Medium,66.66,False,"Array,Bit Manipulation",Algorithms
138,Copy List with Random Pointer,copy-list-with-random-pointer,Medium,62.36,False,"Hash Table,Linked List",Algorithms
139,Word Break,word-break,Medium,49.12,False,"Array,Hash Table,String,Dynamic Programming,Trie,Memoization",Algorithms
140,Word Break II,word-break-ii,Hard,55.06,False,"Array,Hash Table,String,Dynamic Programming,Backtracking,Trie,Memoization",Algorithms
141,Linked List Cycle,linked-list-cycle,Easy,53.86,False,"Hash Table,Linked List,Two Pointers",Algorithms
142,Linked List Cycle II,linked-list-cycle-ii,Medium,57.2,False,"Hash Table,Linked List,Two Pointers",Algorithms
143,Reorder List,reorder-list,Medium,64.54,False,"Linked List,Two Pointers,Stack,Recursion",Algorithms
144,Binary Tree Preorder Traversal,binary-tree-preorder-traversal,Easy,75.14,False,"Stack,Tree,Depth-First Search,Binary Tree",Algorithms
145,Binary Tree Postorder Traversal,binary-tree-postorder-traversal,Easy,77.58,False,"Stack,Tree,Depth-First Search,Binary Tree",Algorithms
146,LRU Cache,lru-cache,Medium,46.8,False,"Hash Table,Linked List,Design,Doubly-Linked List",Algorithms
147,Insertion Sort List,insertion-sort-list,Medium,58.44,False,"Linked List,Sorting",Algorithms
148,Sort List,sort-list,Medium,63.83,False,"Linked List,Two Pointers,Divide and Conquer,Sorting,Merge Sort",Algorithms
149,Max Points on a Line,max-points-on-a-line,Hard,30.24,False,"Array,Hash Table,Math,Geometry",Algorithms
150,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,Medium,56.98,False,"Array,Math,Stack",Algorithms
151,Reverse Words in a String,reverse-words-in-a-string,Medium,55.47,False,"Two Pointers,String",Algorithms
152,Maximum Product Subarray,maximum-product-subarray,Medium,35.97,False,"Array,Dynamic Programming",Algorithms
153,Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,Medium,53.8,False,"Array,Binary Search",Algorithms
154,Find Minimum in Rotated Sorted Array II,find-minimum-in-rotated-sorted-array-ii,Hard,44.63,False,"Array,Binary Search",Algorithms
155,Min Stack,min-stack,Medium,57.7,False,"Stack,Design",Algorithms
156,Binary Tree Upside Down,binary-tree-upside-down,Medium,65.32,True,"Tree,Depth-First Search,Binary Tree",Algorithms
157,Read N Characters Given Read4,read-n-characters-given-read4,Easy,42.51,True,"Array,Simulation,Interactive",Algorithms
158,Read N Characters Given read4 II - Call Multiple Times,read-n-characters-given-read4-ii-call-multiple-times,Hard,43.21,True,"Array,Simulation,Interactive",Algorithms
159,Longest Substring with At Most Two Distinct Characters,longest-substring-with-at-most-two-distinct-characters,Medium,56.96,True,"Hash Table,String,Sliding Window",Algorithms
160,Intersection of Two Linked Lists,intersection-of-two-linked-lists,Easy,63.16,False,"Hash Table,Linked List,Two Pointers",Algorithms
161,One Edit Distance,one-edit-distance,Medium,34.54,True,"Two Pointers,String",Algorithms
162,Find Peak Element,find-peak-element,Medium,46.79,False,"Array,Binary Search",Algorithms
163,Missing Ranges,missing-ranges,Easy,35.53,True,Array,Algorithms
164,Maximum Gap,maximum-gap,Medium,51.36,False,"Array,Sorting,Bucket Sort,Radix Sort",Algorithms
165,Compare Version Numbers,compare-version-numbers,Medium,46.1,False,"Two Pointers,String",Algorithms
166,Fraction to Recurring Decimal,fraction-to-recurring-decimal,Medium,30.53,False,"Hash Table,Math,String",Algorithms
167,Two Sum II - Input Array Is Sorted,two-sum-ii-input-array-is-sorted,Medium,64.59,False,"Array,Two Pointers,Binary Search",Algorithms
168,Excel Sheet Column Title,excel-sheet-column-title,Easy,45.7,False,"Math,String",Algorithms
169,Majority Element,majority-element,Easy,66.1,False,"Array,Hash Table,Divide and Conquer,Sorting,Counting",Algorithms
170,Two Sum III - Data structure design,two-sum-iii-data-structure-design,Easy,39.1,True,"Array,Hash Table,Two Pointers,Design,Data Stream",Algorithms
171,Excel Sheet Column Number,excel-sheet-column-number,Easy,67.22,False,"Math,String",Algorithms
172,Factorial Trailing Zeroes,factorial-trailing-zeroes,Medium,46.13,False,Math,Algorithms
173,Binary Search Tree Iterator,binary-search-tree-iterator,Medium,76.13,False,"Stack,Tree,Design,Binary Search Tree,Binary Tree,Iterator",Algorithms
174,Dungeon Game,dungeon-game,Hard,40.83,False,"Array,Dynamic Programming,Matrix",Algorithms
175,Combine Two Tables,combine-two-tables,Easy,79.21,False,Database,Database
176,Second Highest Salary,second-highest-salary,Medium,46.3,False,Database,Database
177,Nth Highest Salary,nth-highest-salary,Medium,38.81,False,Database,Database
178,Rank Scores,rank-scores,Medium,67.13,False,Database,Database
179,Largest Number,largest-number,Medium,42.56,False,"Array,String,Greedy,Sorting",Algorithms
180,Consecutive Numbers,consecutive-numbers,Medium,47.82,False,Database,Database
181,Employees Earning More Than Their Managers,employees-earning-more-than-their-managers,Easy,72.82,False,Database,Database
182,Duplicate Emails,duplicate-emails,Easy,73.39,False,Database,Database
183,Customers Who Never Order,customers-who-never-order,Easy,71.45,False,Database,Database
184,Department Highest Salary,department-highest-salary,Medium,57.25,False,Database,Database
185,Department Top Three Salaries,department-top-three-salaries,Hard,59.79,False,Database,Database
186,Reverse Words in a String II,reverse-words-in-a-string-ii,Medium,56.59,True,"Two Pointers,String",Algorithms
187,Repeated DNA Sequences,repeated-dna-sequences,Medium,52.85,False,"Hash Table,String,Bit Manipulation,Sliding Window,Rolling Hash,Hash Function",Algorithms
188,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,Hard,49.48,False,"Array,Dynamic Programming",Algorithms
189,Rotate Array,rotate-array,Medium,44.44,False,"Array,Math,Two Pointers",Algorithms
190,Reverse Bits,reverse-bits,Easy,67.67,False,"Divide and Conquer,Bit Manipulation",Algorithms
191,Number of 1 Bits,number-of-1-bits,Easy,76.29,False,"Divide and Conquer,Bit Manipulation",Algorithms
192,Word Frequency,word-frequency,Medium,28.35,False,Shell,Shell
193,Valid Phone Numbers,valid-phone-numbers,Easy,28.91,False,Shell,Shell
194,Transpose File,transpose-file,Medium,30.57,False,Shell,Shell
195,Tenth Line,tenth-line,Easy,36.09,False,Shell,Shell
196,Delete Duplicate Emails,delete-duplicate-emails,Easy,65.56,False,Database,Database
197,Rising Temperature,rising-temperature,Easy,51.01,False,Database,Database
198,House Robber,house-robber,Medium,52.92,False,"Array,Dynamic Programming",Algorithms
199,Binary Tree Right Side View,binary-tree-right-side-view,Medium,69.45,False,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Algorithms
200,Number of Islands,number-of-islands,Medium,63.79,False,"Array,Depth-First Search,Breadth-First Search,Union-Find,Matrix",Algorithms
201,Bitwise AND of Numbers Range,bitwise-and-of-numbers-range,Medium,48.64,False,Bit Manipulation,Algorithms
202,Happy Number,happy-number,Easy,59.21,False,"Hash Table,Math,Two Pointers",Algorithms
203,Remove Linked List Elements,remove-linked-list-elements,Easy,53.82,False,"Linked List,Recursion",Algorithms
204,Count Primes,count-primes,Medium,35.73,False,"Array,Math,Enumeration,Number Theory",Algorithms
205,Isomorphic Strings,isomorphic-strings,Easy,48.0,False,"Hash Table,String",Algorithms
206,Reverse Linked List,reverse-linked-list,Easy,80.25,False,"Linked List,Recursion",Algorithms
207,Course Schedule,course-schedule,Medium,50.79,False,"Depth-First Search,Breadth-First Search,Graph Theory,Topological Sort",Algorithms
208,Implement Trie (Prefix Tree),implement-trie-prefix-tree,Medium,69.16,False,"Hash Table,String,Design,Trie",Algorithms
209,Minimum Size Subarray Sum,minimum-size-subarray-sum,Medium,50.98,False,"Array,Binary Search,Sliding Window,Prefix Sum",Algorithms
210,Course Schedule II,course-schedule-ii,Medium,54.96,False,"Depth-First Search,Breadth-First Search,Graph Theory,Topological Sort",Algorithms
211,Design Add and Search Words Data Structure,design-add-and-search-words-data-structure,Medium,48.13,False,"String,Depth-First Search,Design,Trie",Algorithms
212,Word Search II,word-search-ii,Hard,38.1,False,"Array,String,Backtracking,Trie,Matrix",Algorithms
213,House Robber II,house-robber-ii,Medium,44.59,False,"Array,Dynamic Programming",Algorithms
214,Shortest Palindrome,shortest-palindrome,Hard,41.84,False,"String,Rolling Hash,String Matching,Hash Function",Algorithms
215,Kth Largest Element in an Array,kth-largest-element-in-an-array,Medium,68.77,False,"Array,Divide and Conquer,Sorting,Heap (Priority Queue),Quickselect",Algorithms
216,Combination Sum III,combination-sum-iii,Medium,72.92,False,"Array,Backtracking",Algorithms
217,Contains Duplicate,contains-duplicate,Easy,64.05,False,"Array,Hash Table,Sorting",Algorithms
218,The Skyline Problem,the-skyline-problem,Hard,44.95,False,"Array,Divide and Conquer,Binary Indexed Tree,Segment Tree,Sweep Line,Sorting,Heap (Priority Queue),Ordered Set",Algorithms
219,Contains Duplicate II,contains-duplicate-ii,Easy,50.75,False,"Array,Hash Table,Sliding Window",Algorithms
220,Contains Duplicate III,contains-duplicate-iii,Hard,24.44,False,"Array,Sliding Window,Sorting,Bucket Sort,Ordered Set",Algorithms
221,Maximal Square,maximal-square,Medium,49.97,False,"Array,Dynamic Programming,Matrix",Algorithms
222,Count Complete Tree Nodes,count-complete-tree-nodes,Easy,72.0,False,"Binary Search,Bit Manipulation,Tree,Binary Tree",Algorithms
223,Rectangle Area,rectangle-area,Medium,48.93,False,"Math,Geometry",Algorithms
224,Basic Calculator,basic-calculator,Hard,46.52,False,"Math,String,Stack,Recursion",Algorithms
225,Implement Stack using Queues,implement-stack-using-queues,Easy,69.28,False,"Stack,Design,Queue",Algorithms
226,Invert Binary Tree,invert-binary-tree,Easy,79.82,False,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Algorithms
227,Basic Calculator II,basic-calculator-ii,Medium,46.64,False,"Math,String,Stack",Algorithms
228,Summary Ranges,summary-ranges,Easy,53.91,False,Array,Algorithms
229,Majority Element II,majority-element-ii,Medium,55.77,False,"Array,Hash Table,Sorting,Counting",Algorithms
230,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,Medium,76.46,False,"Tree,Depth-First Search,Binary Search Tree,Binary Tree",Algorithms
231,Power of Two,power-of-two,Easy,49.83,False,"Math,Bit Manipulation,Recursion",Algorithms
232,Implement Queue using Stacks,implement-queue-using-stacks,Easy,69.3,False,"Stack,Design,Queue",Algorithms
233,Number of Digit One,number-of-digit-one,Hard,37.67,False,"Math,Dynamic Programming,Recursion",Algorithms
234,Palindrome Linked List,palindrome-linked-list,Easy,57.39,False,"Linked List,Two Pointers,Stack,Recursion",Algorithms
235,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,Medium,70.04,False,"Tree,Depth-First Search,Binary Search Tree,Binary Tree",Algorithms
236,Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,Medium,68.71,False,"Tree,Depth-First Search,Binary Tree",Algorithms
237,Delete Node in a Linked List,delete-node-in-a-linked-list,Medium,83.56,False,Linked List,Algorithms
238,Product of Array Except Self,product-of-array-except-self,Medium,68.57,False,"Array,Prefix Sum",Algorithms
239,Sliding Window Maximum,sliding-window-maximum,Hard,48.43,False,"Array,Queue,Sliding Window,Heap (Priority Queue),Monotonic Queue",Algorithms
240,Search a 2D Matrix II,search-a-2d-matrix-ii,Medium,56.8,False,"Array,Binary Search,Divide and Conquer,Matrix",Algorithms
241,Different Ways to Add Parentheses,different-ways-to-add-parentheses,Medium,73.05,False,"Math,String,Dynamic Programming,Recursion,Memoization",Algorithms
242,Valid Anagram,valid-anagram,Easy,67.75,False,"Hash Table,String,Sorting",Algorithms
243,Shortest Word Distance,shortest-word-distance,Easy,66.21,True,"Array,String",Algorithms
244,Shortest Word Distance II,shortest-word-distance-ii,Medium,62.71,True,"Array,Hash Table,Two Pointers,String,Design",Algorithms
245,Shortest Word Distance III,shortest-word-distance-iii,Medium,59.39,True,"Array,String",Algorithms
246,Strobogrammatic Number,strobogrammatic-number,Easy,47.55,True,"Hash Table,Two Pointers,String",Algorithms
247,Strobogrammatic Number II,strobogrammatic-number-ii,Medium,53.48,True,"Array,String,Recursion",Algorithms
248,Strobogrammatic Number III,strobogrammatic-number-iii,Hard,42.66,True,"Array,String,Recursion",Algorithms
249,Group Shifted Strings,group-shifted-strings,Medium,67.72,True,"Array,Hash Table,String",Algorithms
250,Count Univalue Subtrees,count-univalue-subtrees,Medium,57.45,True,"Tree,Depth-First Search,Binary Tree",Algorithms
251,Flatten 2D Vector,flatten-2d-vector,Medium,50.44,True,"Array,Two Pointers,Design,Iterator",Algorithms
252,Meeting Rooms,meeting-rooms,Easy,59.32,True,"Array,Sorting",Algorithms
253,Meeting Rooms II,meeting-rooms-ii,Medium,52.53,True,"Array,Two Pointers,Greedy,Sorting,Heap (Priority Queue),Prefix Sum",Algorithms
254,Factor Combinations,factor-combinations,Medium,50.49,True,Backtracking,Algorithms
